word	english
fars	forcemeat
vaerksted	workshop
louisiana	louisiana
overvaegtig	overweight
uranus	uranus
crawl	crawl
struktur	fabric
fjeld	fjeld
saerhed	idiosyncrasy
shoppe	shop
frederik	frederick
logion	logion
kaebe	jaw
plys	pooh
stonne	groan
kaldaeisk	chaldean
klagesang	elegy
halvfjerds	seventy
tungsind	ennui
pakalde	invoke
orinoco	orinoco
regnskov	rainforest
kvaeker	quaker
aflytning	tap
aura	aura
rabies	rabies
laks	salmon
luvart	windward
saulus	saul
island	iceland
antropologi	anthropology
hyperlink	hyperlink
tigris	tigris
sabel	sabre
fascisme	fascism
koldbrand	gangrene
blaffe	hitchhike
jakkesaet	suit
fugtig	damp
livisk	livonian
intetkon	neuter
tabu	taboo
ubekendt	unknown
arier	aryan
greve	count
bredside	broadside
orestikke	stud
marie	mary
topologi	topology
pragmatisk	pragmatic
somalia	somalia
babylon	babylon
bavl	babble
java	java
neuron	neuron
tungsindig	pensive
fjernsyn	television
slethvar	brill
festskrift	festschrift
abdullah	abdullah
pentagram	pentagram
lommelygte	flashlight
ionien	ionia
vaccine	vaccine
diskutere	discuss
baryton	baritone
nive	pinch
sicilien	sicily
monoteistisk	monotheistic
nyttelos	futile
gardsplads	courtyard
knib	pinch
glasnost	glasnost
losen	password
flueknepperi	nitpicking
teleskop	telescope
pastaet	alleged
khat	khat
mosaik	mosaic
richard	richard
svindel	fraud
isotropi	isotropy
komponist	composer
tjenestemand	official
eof	eec
galaktose	galactose
fertilitet	fertility
baenk	bench
tyve	twenty
zimbabwe	zimbabwe
husskade	magpie
hitler	hitler
gaer	yeast
migraene	migraine
jordan	jordan
yucatan	yucatan
synopsis	synopsis
mia	mia
omklaedning	change
livmoder	womb
barbering	shave
afsked	leave
enare	inari
klientel	clientele
pantsaetning	pawn
chutney	chutney
espingol	blunderbuss
muffe	sleeve
harald	harold
gravid	pregnant
bjergirisk	twite
loke	loki
beslutsomhed	decision
knor	knorr
facilitator	facilitator
orden	order
gregers	gregory
alberta	alberta
opdragelse	education
relevante	germane
fortaellende	narrative
lever	liver
padde	toad
simone	simone
kaep	stick
medalje	medal
burger	burger
bassin	basin
platinplade	platinum
realismen	realism
vortesvinet	warthog
symmetri	symmetry
kertj	kerch
armenien	armenia
hypotetisere	hypothesise
recitere	recite
dopamin	dopamine
sonet	sonnet
forbitret	bitter
vikar	temporary
panteisme	pantheism
semantik	semantics
peking	beijing
intetsteds	nowhere
kreml	kremlin
junta	junta
enebaer	juniper
fleksibel	flexible
indsamling	collection
cafeteria	cafeteria
deltagelse	participation
urostifter	gadfly
lojtnant	lieutenant
kleopatra	cleopatra
skulptur	sculpture
gaeret	fermented
bevidsthed	consciousness
bissau	bissau
moblere	furnish
farehyrde	shepherd
haevdelse	maintenance
elev	pupil
odin	odin
drom	dream
siameser	siamese
kaerte	taper
velsagtens	arguably
nedkomme	deliver
aktivist	activist
kefeus	cepheus
flaenge	tear
skvadre	blather
biologi	biology
bremen	bremen
kartoffel	potato
sandwich	sandwich
revers	revers
facon	way
hypnotisere	mesmerize
kihnu	kihnu
laespe	lisp
empirisk	empirical
opfindsomt	ingenious
argon	argon
muskulaer	muscular
nyskabende	innovative
orred	trout
alkove	alcove
nedladende	condescending
tintoj	pewterware
tredje	third
raev	fox
sael	seal
teskefuld	teaspoonful
pabyde	enjoin
teaktrae	teak
kolera	cholera
uagtsom	careless
hypnotisor	hypnotist
tagalog	tagalog
serbisk	serbian
forstaerke	tone
lord	lord
rigelig	ample
enkemand	widower
forelskelse	limerence
mumie	mummy
tinnitus	tinnitus
farbror	uncle
mere	more
unaturlig	unnatural
paen	nice
dragon	dragoon
sikhisme	sikhism
laest	last
fyrstedomme	principality
jordhule	burrow
endegyldig	final
hekate	hecate
praeparat	preparation
lamsla	dumbfound
hercegoviner	herzegovinian
hakkebraet	dulcimer
anopi	anopia
infektion	infection
korsikaner	corsican
kritik	criticism
resistivitet	resistivity
kniplepind	bobbin
slank	slim
faerdsel	traffic
etnologi	ethnology
koala	koala
agere	act
despoti	despotism
defaitist	defeatist
ordbog	dictionary
alesund	alesund
svensker	swede
pengeskab	safe
habil	able
hydrogen	hydrogen
skipper	skipper
brod	bread
rismark	paddy
cedertrae	cedar
velfaerd	welfare
tarnfalk	kestrel
knudekal	kohlrabi
panama	panama
loppe	flea
natalie	natalie
teori	theory
beregne	figure
overengel	archangel
pasta	pasta
protein	protein
omvej	detour
asbest	asbestos
dun	down
graand	mallard
indkast	insertion
synthesizer	synthesizer
fuglesang	birdsong
kroning	coronation
navneord	noun
asketrae	ash
alkyn	alkyne
zairefloden	congo
omfavne	hug
ekstensiv	extensive
drov	cud
epifyt	epiphyte
krosus	croesus
piratfisk	piranha
tatarstan	tatarstan
fjende	enemy
barpige	bartender
kasket	hat
slebet	cut
abakan	abakan
telegraf	telegraph
slovakisk	slovak
artusinde	millennium
kald	metier
nogtern	level
gertrud	gertrude
vilnius	vilnius
omgivelse	surroundings
smalig	stingy
spinde	weave
dendrologi	dendrology
abraham	abraham
darwinisme	darwinism
badeskur	boathouse
forfatte	write
skandalos	scandalous
ophavsmand	originator
udnaevne	queen
odder	otter
mistelten	mistletoe
safran	saffron
ungarn	hungary
